title	id	description
Universidad de Chile	1	La Universidad de Chile es una institución de educación superior de carácter nacional y pública, que asume con compromiso y vocación de excelencia la formación de personas y la contribución al desarrollo espiritual y material de la Nación, construyendo liderazgo en el desarrollo innovador de las ciencias y las tecnologías, las humanidades y las artes, a través de sus funciones de docencia, creación y extensión, con especial énfasis en la investigación y el postgrado. En el ejercicio de dichas funciones promueve el ejercicio de una ciudadanía preparada, crítica, con conciencia social y responsabilidad ética, de acuerdo a los valores de tolerancia, pluralismo y equidad, independencia intelectual y libertad de pensamiento, así como también del respeto, promoción y preservación de la diversidad en todos los ámbitos de su quehacer.
Pontificia Universidad Católica de Chile	2	La Pontificia Universidad Católica de Chile fue fundada el 21 de junio de 1888 por iniciativa del Arzobispo de Santiago, Monseñor Mariano Casanova, con el objetivo de ser una institución que integrara la excelencia académica y una formación inspirada en la doctrina cristiana. Su creación se inserta en las circunstancias históricas universales y locales que afectaron a la Iglesia Católica, instándola a formar profesionales poseedores de un auténtico sentido cristiano de la vida, que sirviera como fermento renovador para las nuevas generaciones.
Universidad de Concepción	3	"La idea de fundar la Universidad de Concepción era una antigua aspiración de los penquistas. Desde el siglo pasado, insignes rectores del Liceo de Concepción abogaban por la creación de carreras profesionales bajo la tutela de ese plantel. Esta idea que contaba con gran apoyo dentro de la sociedad penquista, no se había podido concretar principalmente, por la falta de organización ""de todas las personas que así pensaban"", señala un artículo del diario El Sur, de febrero de 1917."
Universidad de Santiago de Chile	4	Tiene sus raíces en la Escuela de Artes y Oficios, fundada en 1848 bajo el gobierno de Manuel Bulnes. En 1947 se fundó como Universidad Técnica del Estado, con diversas sedes a lo largo del país. Posteriormente, en 1981 y como consecuencia de la reforma de la educación superior impulsada durante el Régimen Militar, la casa central de la UTE se convirtió en la actual Universidad de Santiago de Chile, con todas sus actividades centradas en un campus único de 340 000 m² ubicado en la comuna de Estación Central, en Santiago de Chile.
Universidad Técnica Federico Santa María	5	La Universidad se funda a partir de la voluntad testamentaria del filántropo, visionario y emprendedor Federico Santa María Carrera, quién legó su fortuna para dotar al país de una institución que entregue una formación humana, científica y profesional centrada en principios y valores universales, liderando en la enseñanza de la ingeniería, ciencia y tecnología. Crear y difundir nuevo conocimiento, y formar integralmente profesionales idóneos en el ámbito científico - tecnológico, para liderar el desarrollo del país y la humanidad.
Pontifica Universidad Católica de Valparaíso	6	La Pontificia Universidad Católica de Valparaíso (PUCV), también llamada Universidad Católica de Valparaíso(UCV), es una universidad tradicional y privada de Chile, perteneciente al Consejo de Rectores de las Universidades Chilenas, a la Agrupación de Universidades Regionales de Chile y a la Red Universitaria G9. Es además una universidad católica pontificia, que depende directamente de la Santa Sede y del Obispado de Valparaíso. Es reconocida como una entidad de alto prestigio académico, así como una institución universitaria compleja por su alto desarrollo formativo e investigativo en las ciencias, las humanidades y las artes.
Universidad Austral de Chile	7	La Universidad Austral de Chile es una universidad tradicional privada chilena, con asiento en la sureña ciudad de Valdivia, Chile. Fue fundada en 1954, obteniendo personalidad jurídica mediante el Decreto Supremo Nº 3.757, de 7 de septiembre del mismo año, «como respuesta a la impostergable necesidad de contar con una institución de educación superior universitaria en el sur del país». Pertenece a la Red Universitaria Cruz del Sur, a la Agrupación de Universidades Regionales de Chile,​ al Consejo de Rectores de las Universidades Chilenas,​ y a la Red Universitaria.
Universidad Diego Portales	8	La Universidad Diego Portales, también conocida como UDP, es una universidad privada chilena, fundada en Santiago de Chile en 1982 y bautizada en honor al político y comerciante chileno Diego Portales. La Universidad Diego Portales está adscrita al sistema único de admisión de las universidades del Consejo de Rectores (CRUCH). Actualmente se encuentra acreditada por la Comisión Nacional de Acreditación (CNA-Chile) por un período de cinco años (de un máximo de 7), desde octubre de 2013 hasta octubre de 2018, en todas las áreas obligatorias más las áreas electivas de investigación y vinculación con el medio.​ Figura como la 6.ª universidad chilena según la clasificación webométrica del CSIC, en julio de 2016, y en el 9.º lugar según el ranking de AméricaEconomía 2016. Está, además, entre las once universidades chilenas que figuran en la Clasificación mundial de universidades QS 2016, entre las diez que figuran en el ránking del Times Higher Education 2016, y entre las 22 universidades chilenas que aparecen en el ránking de Scimago Institution Rankings (SIR) 2016, con el 16.° lugar a nivel nacional, y 652.° a nivel mundial.
Universidad de Talca	9	La Universidad de Talca es una universidad estatal chilena, con sede en la ciudad de Talca, Región del Maule. Es miembro de la Agrupación de Universidades Regionales de Chile, y una de las dieciséis universidades del Consorcio de Universidades del Estado de Chile, la cual pertenece al Consejo de Rectores de las Universidades Chilenas. Su Casa Central se encuentra en Talca, Chile. capital de la VII Región, distante a 250 kilómetros al sur de Santiago.
Universidad Adolfo Ibáñez	10	La Universidad Adolfo Ibáñez es una comunidad académica, sin fines de lucro, nacida de la Escuela de Negocios de Valparaíso. Fue creada en 1953 por la Fundación Adolfo Ibáñez, depositaria del legado del empresario y hombre público, don Adolfo Ibáñez Boggiano, y constituida como universidad en 1988. Nuestro compromiso con la libertad se traduce en una formación que promueve la autonomía de las personas para adoptar sus propias decisiones en forma responsable, asumiendo las consecuencias de sus acciones y juicios, para responder, con pleno respeto a las ideas divergentes, de manera racional y éticamente fundada.
Universidad de la Frontera	11	Ubicada en Chile, Región de La Araucanía, la Universidad de La Frontera (UFRO) es una institución de educación superior pública y estatal, considerada entre las mejores del país, por sus notables indicadores de calidad y excelencia. Nace como institución autónoma el 10 de marzo de 1981, tras la fusión de las sedes en Temuco de la Universidad de Chile y la Universidad Técnica del Estado. La Universidad de La Frontera es una comunidad de aprendizaje dedicada a la formación de capital humano en pre y postgrado, en los ámbitos del desarrollo de la educación continua, de la investigación científica y tecnológica, de la promoción y creación artística y el desarrollo cultural, de la formación de ciudadanos capaces de afrontar los desafíos de su tiempo.
Universidad de Valparaíso	12	La Universidad de Valparaíso es una institución estatal, pública y autónoma, fundada en una larga tradición y se plantea como misión generar y difundir el conocimiento, cultivando las artes, las ciencias, las humanidades y las tecnologías, a través del desarrollo de docencia de pregrado, posgrado, e investigación, así como entregando competencias y valores para formar graduados, profesionales e investigadores en un marco de calidad y compromiso con el desarrollo regional y nacional, promoviendo su carácter sostenible.
Universidad de los Andes	13	La Universidad de los Andes (UANDES) es una universidad privada autónoma y católica chilena. Fundada el 8 de septiembre de 1989, su sede central se encuentra en Santiago de Chile. La formación espiritual y doctrinal de la Universidad está inspirada en el Opus Dei («obra de Dios»), por lo que cuenta con atención espiritual católica a cargo de la Prelatura del Opus Dei e imparte formación a sus alumnos en teología, antropología y ética. El actual capellán general a cargo de la atención espiritual, tanto de los alumnos como de los funcionarios, es el presbítero Sebastián Urruticoechea.1​ Es por ello, que además, el rector honorario de esta universidad es el Prelado del Opus Dei, Monseñor Fernando Ocáriz Braña.
Universidad Andrés Bello	14	La Universidad Andrés Bello es una universidad privada chilena creada en 1988, perteneciente a la red de universidades privadas Laureate International Universities. Actualmente se encuentra acreditada por la Comisión Nacional de Acreditación (CNA-Chile) por un período de cuatro años (de un máximo de 7), desde diciembre de 2013 hasta diciembre de 2017. ​ Figura como la 9.ª universidad chilena según la clasificación webométrica del CSIC, en julio de 2016,3​ y en el 15.º lugar según el ranking de AméricaEconomía2016. Es además una de las 22 universidades chilenas que figuran en el ránking mundial Scimago Institution Rankings (SIR) 2016, donde aparece en el puesto 623 a nivel mundial y 8.° a nivel nacional, compartido con la Universidad de Santiago de Chile.
Universidad Católica del Norte	15	La Universidad Católica del Norte (UCN) es una institución de educación superior chilena, tradicional y privada, perteneciente a la Iglesia Católica. Fundada el 31 de mayo de 1956, inició sus actividades el 25 de marzo de 1957 y fue reconocida por el Estado mediante una ley de 4 de febrero de 1964. Es miembro del Consejo de Rectores de las Universidades Chilenas, siendo una de las seis universidades católicas que lo integran; además forma parte de la Red Universitaria G9 y la Agrupación de Universidades Regionales de Chile.
Universidad de Tarapacá	16	La Universidad de Tarapacá es una universidad chilena, de carácter estatal, cuya sede central se encuentra ubicada en Arica, capital de la XV Región. Forma parte de la Agrupación de Universidades Regionales de Chile, del Consejo de Rectores de las Universidades Chilenas y del Consorcio de Universidades del Estado de Chile. La universidad es reconocida mundialmente por su aporte constante al desarrollo de la Arqueología del Norte Grande de Chile y por su rápido crecimiento y posicionamiento estratégicos, a nivel nacional y latinoamericano.
Universidad del Bío-Bío	17	La Universidad del Bío-Bío es una institución de educación superior chilena, de carácter estatal, ubicada en la Región del Biobío, con sedes en Concepción y Chillán. Es una de las veinticinco universidades del Consejo de Rectores de las Universidades Chilenas, y miembro de la Agrupación de Universidades Regionales de Chile. Se encuentra acreditada por la Comisión Nacional de Acreditación (CNA), durante un periodo de cinco años comprendidos entre agosto de 2014 hasta agosto de 2019 en las áreas de gestión, docencia, investigación y vinculación con el medio.
Universidad del Desarrollo	18	La Universidad del Desarrollo es una universidad privada autónoma en Chile. Cuenta con sedes en Concepción y en Santiago, específicamente en las comunas de Las Condes y Lo Barnechea. Actualmente se encuentra acreditada por la Comisión Nacional de Acreditación (CNA-Chile) por un período de cinco años (de un máximo de 7), desde diciembre de 2016 hasta diciembre de 2021, en las áreas obligatorias más las áreas optativas de investigación y vinculación con el medio. Figura como la 19.ª universidad chilena según la clasificación webométrica del CSIC, en julio de 2016, y en el 17.º lugar según el ranking de AméricaEconomía 2016. Está, además, entre las 22 universidades chilenas que aparecen en el ranking de Scimago Institution Rankings (SIR) 2016, con el 20.° lugar a nivel nacional, y 672.° a nivel mundial.
Universidad Alberto Hurtado	19	"La Universidad Alberto Hurtado (UAH), conocida también de forma coloquial como ""La Alberto Hurtado"" o simplemente ""La Hurtado"", es una universidad privada chilena, perteneciente a la Compañía de Jesús. Fue fundada el 20 de octubre de 1997, y está dedicada al santo jesuita chileno Alberto Hurtado, que perteneció a dicha congregación. Es una universidad enfocada a las ciencias sociales, económicas, educativas, y las humanidades. La universidad ofrece 36 carreras de pregrado, 24 programas de magíster, 4 doctorados, 47 diplomados y 7 programas de educación virtual."
Universidad de La Serena	20	La Universidad de La Serena es una de las 16 universidades tradicionales de Chile, perteneciente al Consejo de Rectores de las Universidades Chilenas, al Consorcio de Universidades Estatales de Chile, y a la Agrupación de Universidades Regionales de Chile. Su sede central se encuentra en La Serena, Chile. La Universidad de La Serena figura como la 14ª universidad chilena según la clasificación webométrica del CSIC, en julio de 2012, y en el 27º lugar según el ranking de El Mercurio. En el ranking 2011 del QS World University Ranking9​ se ubicó 15° entre las 25 universidades chilenas analizadas.
Universidad de Antofagasta	21	La Universidad de Antofagasta es una universidad pública y tradicional del Estado de Chile, perteneciente al Consejo de Rectores de las Universidades Chilenas y a la Agrupación de Universidades Regionales de Chile, siendo también integrante del Consorcio de Universidades Estatales de Chile. Su casa central se encuentra en la ciudad de Antofagasta. La Universidad de Antofagasta figura como la 18º lugar (de un total de 57) según el ranking 2014 de AméricaEconomía, y en la 27° universidad chilena según la clasificación webométrica del CSIC, en julio de 2012.
Universidad Católica de Temuco	22	La Universidad Católica de Temuco es una institución de educación superior tradicional privada, fundada en 1959 por el obispo Alejandro Menchaca Lira, bajo la denominación de Escuelas Universitarias de la Frontera, quince años más tarde se transformó en la sede de Temuco de la Pontificia Universidad Católica de Chile. En 1991 vuelve a su autonomía constituyéndose en la Universidad Católica de Temuco. Actualmente es miembro de la Agrupación de Universidades Regionales de Chile y del Consejo de Rectores de las Universidades Chilenas.
Universidad Católica del Maule	23	La Universidad Católica del Maule es una universidad con personalidad jurídica de derecho público y una de las seis universidades católicas tradicionales del país,​ la cual pertenece a la Agrupación de Universidades Regionales de Chile, a la Red Universitaria G9 y al Consejo de Rectores de las Universidades Chilenas. El año 2015, la Universidad Católica del Maule obtuvo 5 años de Acreditación según la Comisión Nacional de Acreditación (CNA-Chile).
Universidad Católica de la Santísima Concepción	24	La UCSC es una Universidad tradicional con personalidad jurídica de derecho público, autónoma, privada, y adscrita al Consejo de Rectores de las Universidades Chilenas además de ser miembro de la Agrupación de Universidades Regionales de Chile, de la Red Universitaria G9 y la Federación Internacional de Universidades Católicas (FIUC). Actualmente cuenta con el Instituto de Teología y el Instituto Tecnológico, además de las Facultades de Derecho, Ciencias, Educación, Ingeniería, Medicina, Ciencias Económicas y Administrativas y de Comunicación, Historia, y Ciencias Sociales.
Universidad San Sebastián	25	San Sebastián (cooficialmente en euskera: Donostia) es una ciudad y municipio situado en el norte de España, en la costa del golfo de Vizcaya y a 20 kilómetros de la frontera con Francia. La ciudad es la capital de la provincia de Guipúzcoa, en la comunidad autónoma del País Vasco. La población del municipio es de 186 095 habitantes (2015), y su área metropolitana alcanza los 436 500 (2010). Es la cabecera de la Eurociudad Vasca Bayona-San Sebastián, una conurbación de más de 620 000 habitantes.
Universidad de Playa Ancha	26	La Universidad de Playa Ancha, también conocida como Universidad de Playa Ancha de Ciencias de la Educacióny UPLA, es una universidad estatal y pública de Chile, ubicada en la Región de Valparaíso. Es una de las diecisiete universidades del Consorcio de Universidades Estatales de Chile, perteneciente al Consejo de Rectores de las Universidades Chilenas. Además es miembro de la Agrupación de Universidades Regionales de Chile. Su Casa Central se encuentra en la Avenida Playa Ancha 850 de la ciudad de Valparaíso.
Universidad Mayor	27	La Universidad Mayor es una universidad privada chilena fundada en 1988. Su actual rector es Rubén Covarrubias. Esta universidad imparte 51 carreras de pregrado, y 63 programas de magísteres que imparte en dos sedes y siete campus en Santiago y uno en Temuco. En 2014, la Universidad Mayor figuraba como la 29.ª universidad chilena según la clasificación webométrica del CSIC, de un total de 59 consideradas, en el 21.º lugar según el ranking de AméricaEconomía, también de 59 consideradas, y en el 28.° lugar en Chile del ránking internacional QS World University, de un total de 31 universidades consideradas.
Universidad Metropolitana de Ciencias de la Educación	28	La Universidad Metropolitana de Ciencias de la Educación (UMCE) es una universidad tradicional y estatal perteneciente al Consejo de Rectores de las Universidades Chilenas y es una de las dieciséis universidades del Consorcio de Universidades Estatales de Chile. Su origen es el Instituto Pedagógico crado el 29 de abril de 1889, dentro de la Universidad de Chile, como una institución pionera en la formación de profesores capacitados. Anteriormente la formación de profesores de educación básica se hacía por las escuelas normales.
Universidad Finis Terrae	29	La Universidad Finis Terrae (UFT) es una universidad privada chilena católica sin fines de lucro, perteneciente a la Congregación de los Legionarios de Cristo. Fue fundada en 1988, alcanzando su autonomía institucional en 1996. Actualmente, se encuentra acreditada por la Comisión Nacional de Acreditación (CNA-Chile) en las áreas de gestión institucional, docencia de pregrado y vinculación con el medio, por un período de cuatro años desde noviembre de 2015 a noviembre de 2019. Figura como la 36.ª universidad chilena según la clasificación webométrica del CSIC, en julio de 2016, y en el 28.º lugar según el ranking de AméricaEconomía 2016.
Universidad Autónoma de Chile	30	La Universidad Autónoma de Chile es una universidad privada chilena, con sedes en Temuco, Talca y Santiago(Providencia y Llano Subercaseaux). Está adscrita al Sistema Único de Admisión del Consejo de Rectores de Universidades Chilenas. Actualmente se encuentra acreditada por la Comisión Nacional de Acreditación (CNA-Chile) por un período de cuatro años (de un máximo de 7), desde octubre de 2015 hasta octubre de 2019, en todas las áreas obligatorias, además de las áreas optativas de Investigación y Vinculación con el medio. Figura como la 30.ª universidad chilena según la clasificación webométrica del CSIC, en julio de 2016, y en el 26.º lugar según el ranking de AméricaEconomía 2016.Está, además, entre las 22 universidades chilenas que aparecen en el ránking de Scimago Institution Rankings (SIR) 2016, con el 21.° lugar a nivel nacional, y 673.° a nivel mundial.
Universidad Arturo Prat	31	La Universidad Arturo Prat es una de las dieciséis universidades del Consorcio de Universidades del Estado de Chile y es miembro de la Agrupación de Universidades Regionales de Chile, la cual pertenece al Consejo de Rectores de las Universidades Chilenas. Su Casa Central se encuentra en Iquique, Región de Tarapacá, Chile.
Universidad Tecnológica Metropolitana	32	La Universidad Tecnológica Metropolitana, más conocida por su acrónimo como UTEM, es una institución de educación superior pública estatal de Chile, creada por ley de 30 de agosto de 1993, a partir del Instituto Profesional de Santiago, heredero del Instituto Politécnico de la Universidad de Chile. Es una de las dieciséis universidades del Consorcio de Universidades del Estado de Chile, y pertenece al Consejo de Rectores de las Universidades Chilenas.
Universidad Central de Chile	33	La Universidad Central de Chile es una universidad privada chilena, fundada en 1982. Fue la primera universidad privada creada en virtud del DFL Nº 1 del 3 de enero de 1981, en alcanzar la plena autonomía institucional, según el acuerdo Nº 44 del Consejo Superior de Educación del 18 de marzo de 1993, quedando habilitada para otorgar toda clase de títulos y grados académicos en forma independiente. Es una corporación de derecho privado sin fines de lucro cuya administración y desarrollo recae en sus propios académicos a través de una estructura de gobierno liderada por una Asamblea General representativa de las distintas facultades de la universidad, lo que la convertiría en un caso único en el sistema universitario chileno.
Universidad Católica Silva Henríquez	34	"La Universidad Católica Cardenal Raúl Silva Henríquez —conocida popularmente como ""la Silva Henríquez"" o ""la UCSH""— es una universidad privada chilena católica perteneciente a la Congregación Salesiana. Su sede se encuentra en la ciudad de Santiago, con 3 de sus 4 campus ubicados en la misma comuna de Santiago, mientras el campus Lo Cañas se encuentra en la comuna de La Florida. Fue creada en 1982 bajo el alero de la Conferencia Episcopal de Chiley con la finalidad de dar una solución a la educación superior para jóvenes de escasos recursos, preocupación acuñada por el Cardenal Raúl Silva Henríquez (SDB)."
Universidad Bernardo O'Higgins	35	La Universidad Bernardo O'Higgins es una universidad privada chilena, de carácter autónomo, fundada en marzo de 1990 e inspirada en los principios tradicionales y doctrinarios de la institución más antigua del país, el Ejército de Chile. Su sede está emplazada a un costado del Parque O'Higgins, en la comuna de Santiago. Actualmente se encuentra acreditada por la Comisión Nacional de Acreditación (CNA-Chile) por un período de tres años (de un máximo de 7), desde julio de 2015 hasta julio de 2018, en todas las áreas obligatorias más el área electiva de vinculación con el medio. Figura como la 38ª universidad chilena según la clasificación webométrica del CSIC, en mayo de 2017, y en el 30º lugar según el ranking de AméricaEconomía 2016. 
Universidad Gabriela Mistral	36	La Universidad Gabriela Mistral es una universidad privada chilena, fundada en 1981 en Santiago. Actualmente posee una sede en la ciudad de Puerto Varas que está en proceso de cierre y construye un nuevo edificio en la Ciudad Empresarial de Huechuraba. Su nombre se debe a la poeta chilena Gabriela Mistral, si bien no posee relación con ella. En 2016 consiguió su primera acreditación por la Comisión Nacional de Acreditación (CNA-Chile), por un plazo de 2 años (de un máximo de 7), hasta septiembre de 2018. Figura como la 49.ª universidad chilena según la clasificación webométrica del CSIC, en julio de 2016, y en el 35.º lugar según el ranking de AméricaEconomía 2016.
Universidad de Los Lagos	37	La Universidad de Los Lagos es una universidad chilena integrante del Consejo de Rectores de las Universidades Chilenas, del Consorcio de Universidades del Estado de Chile, y de la Agrupación de Universidades Regionales de Chile. Su casa central está situada en la ciudad de Osorno, siendo la única de carácter público estatal ubicada en la X Región de Los Lagos. Actualmente esta universidad está acreditada por 3 años, de un máximo de 7, entre diciembre de 2016 y diciembre de 2019, en las áreas de Gestión Institucional, Docencia pregrado y Vinculación con el medio. Figura como la 18ª universidad chilena según la clasificación webométrica del CSIC, en julio de 2012, y en el 23º lugar según el ranking de El Mercurio 2011.En el ranking 2012 del QS World University Ranking se ubicó entre las 200 mejores universidades de Latinoamérica.
Universidad de Magallanes	38	La Universidad de Magallanes (UMAG) es una universidad tradicional y pública, perteneciente al Estado de Chile. Es la universidad más importante de la Patagonia Chilena. Fue fundada el 26 de octubre de 1961 como el Instituto Profesional de Magallanes de la Universidad Técnica del Estado en la ciudad de Punta Arenas, capital de la Región de Magallanes y de la Antártica Chilena. Como consecuencia de la reforma de la educación superior impulsada durante el período del Régimen Militar, el 26 de octubre de 1981 se convirtió en la actual Universidad de Magallanes.
Universidad Santo Tomás	39	La Universidad Santo Tomás, comúnmente llamada por sus siglas UST, es una universidad privada chilena fundada en 1988. Además de su sede central en Santiago, tiene otras en distintas ciudades a lo largo de Chile. Pertenece a la Corporación Santo Tomás, la cual está inspirada en el pensamiento Tomista. La Universidad Santo Tomás figura como la 32° universidad chilena según la clasificación webométrica del CSIC, en enero de 2013. En el ranking 2014 de AméricaEconomía se ubicó en el 33º lugar. La institución no figura en el ránking de QS World University 2013.
Universidad de Atacama	40	La Universidad de Atacama es una universidad pública y tradicional del Estado de Chile, integrante del Consorcio de Universidades Estatales de Chile, y al Consejo de Rectores de las Universidades Chilenas, siendo también participe de la Agrupación de Universidades Regionales de Chile. Su Casa Central se encuentra en Copiapó, Región de Atacama, Chile. Además posee sedes en Santiago, Vallenar y Caldera. La Universidad de Atacama figura como la 30ª universidad chilena según la clasificación webométrica del CSIC, en julio de 2012, y en el 37º lugar según la clasificación de 2014 de AméricaEconomía.
Universidad de Las Américas	41	La Universidad de Las Américas (UDLA) es una universidad privada autónoma chilena fundada en 1988. Cuenta con ocho campus, cinco en Santiago de Chile, uno en Viña del Mar y dos en Concepción. Fue la primera universidad en Chile en integrarse a la red Laureate International Universities. Universidad de Las Américas figura en el puesto 46 de universidades chilenas según la clasificación webométrica del CSIC, en junio de 2016, de un total de 79 instituciones consideradas. Además, figura en el puesto 41 de universidades del país de un total de 59 consideradas, de acuerdo con el ranking de AméricaEconomía 2012.
Universidad Adventista de Chile	42	La Universidad Adventista de Chile (UnACh) es una universidad privada chilena perteneciente a la Iglesia Adventista del Séptimo Día, ubicada en las afueras de la ciudad de Chillán, en el fundo Las Mariposas, a 12 km del centro de la ciudad. Esta institución educativa se ubica dentro de un terreno de más de 350 hectáreas, veinticinco de las cuales corresponden al Campus. Actualmente se encuentra acreditada por la Comisión Nacional de Acreditación (CNA-Chile) por un período de tres años (de un máximo de 7), desde enero de 2016 hasta enero de 2019, en todas las áreas obligatorias más el área electiva de vinculación con el medio. Figura como la 45.ª universidad chilena según la clasificación webométrica del CSIC, en julio de 2016, y no es considerada por el ránking de AméricaEconomía 2016.
Universidad del Pacífico	43	La Universidad del Pacífico es una universidad privada chilena fundada en 1990. En 2012 figuraba como la 52ª universidad del país según la clasificación webométrica del CSIC, y en 2011 como la 43ª según el ranking de El Mercurio. Su actual rector es Gilberto Zárate Barrera. Actualmente está acreditada por la Comisión Nacional de Acreditación (CNA-Chile) por dos años, entre 2015 y 2017.
Universidad de Viña del Mar	44	La Universidad Viña del Mar (UVM) es una universidad privada autónoma chilena, perteneciente al grupo de universidades internacionales Laureate International Universities, y reconocida por el Ministerio de Educación de Chile. Actualmente se encuentra acreditada por la Comisión Nacional de Acreditación (CNA-Chile) por un período de cuatro años (de un máximo de 7), desde diciembre de 2015 hasta diciembre de 2019. Figura como la 52.ª universidad chilena según la clasificación webométrica del CSIC, en julio de 2016,​ y no es considerada en el ranking de AméricaEconomía 2016.
Universidad Tecnológica de Chile	45	La Misión de INACAP es formar personas con valores y competencias que les permitan desarrollarse como ciudadanos responsables e integrarse con autonomía y productividad a la sociedad. Asimismo, contribuir al mejoramiento de la competitividad de los distintos sectores productivos del país a través del desarrollo de su capital humano y de la innovación tecnológica.
Universidad UNIACC	46	Universidad UNIACC, acrónimo de Universidad de Artes, Ciencias y Comunicación, es una universidad privadachilena no acreditada por la Comisión Nacional de Acreditación (CNA-Chile). ​Se ubica en la comuna de Providencia, en Santiago de Chile. Está orientada a las carreras de la industria de las comunicaciones, y es autónoma desde el año 2000. ​ Desde abril de 2016 es controlada por la firma estadounidense Apollo Education Group, que la compró a la familia Guiloff por US$ 44 millones.
Universidad Pedro de Valdivia	47	La Universidad Pedro de Valdivia es una universidad privada chilena autónoma no acreditada por la Comisión Nacional de Acreditación (CNA-Chile). ​ ​ Fue creada a partir de la compra y reestructuración en 2006 de la Universidad Mariano Egaña. Actualmente cuenta con sedes en Santiago, Chillán, Concepción, La Serena y Antofagasta. Figura como la 49ª casa de estudios superiores chilena según la clasificación webométrica del CSIC, en diciembre de 2013, ​ ​ y en el 54º lugar del ránking de AméricaEconomía 2012, de un total de 57 universidades consideradas. ​Durante 2012, además, fue la tercera universidad con mayor índice de reclamos realizados al Servicio Nacional del Consumidor (Sernac) por parte de sus alumnos.
Universidad SEK	48	La Universidad SEK Chile es una universidad privada chilena, no acreditada por la Comisión Nacional de Acreditación. Creada el 8 de agosto de 1988, su sede central se encuentra en la comuna de Providencia. Esta universidad es parte de la Institución Internacional SEK, organización de colegios y universidades fundada en España en 1892.
Universidad de Aconcagua	49	La Universidad de Aconcagua es una universidad privada chilena no acreditada por la Comisión Nacional de Acreditación (CNA-Chile). Su casa central se ubica en la ciudad de Santiago, y cuenta además con sedes en diecinueve ciudades del país. Fue reconocida como universidad en 1990, alcanzando la condición de institución autónoma en enero de 2006, según la resolución exenta N ° 568 del Ministerio de Educación de Chile.
Universidad Iberoamericana de Ciencias y Tecnología	50	La Universidad Iberoamericana de Ciencias y Tecnología o UIBERO (antiguamente UNICIT) es una universidad privada chilena, ubicada en la ciudad de Santiago de Chile. Actualmente se encuentra acreditada por la Comisión Nacional de Acreditación (CNA-Chile) por un período de dos años (de un máximo de 7), desde octubre de 2016 hasta octubre de 2018, en las áreas obligatorias de gestión institucional y docencia de pregrado. Figura como la 72.ª casa de estudios superiores y penúltima universidad chilena según la clasificación webométrica del CSIC, en enero de 2017, y no es considerada en el ranking de AméricaEconomía 2016.
Universidad Los Leones	51	La Universidad Los Leones es una universidad privada chilena, no acreditada por la Comisión Nacional de Acreditación (CNA-Chile). Fue fundada en 2010 al alero del Instituto Profesional Los Leones, el cual fue creado en 1981 bajo el nombre de Institur. Esta universidad figura en el 79.° y último lugar de la clasificación webométrica del Consejo Superior de Investigaciones Científicas (CSIC), en julio de 2016, la cual considera a todas las universidades e institutos profesionales chilenos.
Universidad de Aysén	52	La Universidad de Aysén es una universidad estatal chilena creada por ley en 2015, durante el segundo gobierno de la presidenta Michelle Bachelet, en conjunto con la Universidad de OˈHiggins. Tendrá su domicilio y desarrollará sus actividades en ciudad de Coyhaique en la Región de Aysén del General Carlos Ibañez del Campo. Está previsto que la universidad comience a funcionar en 2017.
